pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,ra,dec
DMPP-1 c,1,4,Radial Velocity,2019,6.584,0.0733,,9.6,0.057,,1239,6196,1.26,1.21,86.7761233,-10.6303217
DMPP-1 d,1,4,Radial Velocity,2019,2.882,0.0422,,3.35,0.07,,1632,6196,1.26,1.21,86.7761233,-10.6303217
DMPP-1 e,1,4,Radial Velocity,2019,5.516,0.0651,,4.13,0.07,,1314,6196,1.26,1.21,86.7761233,-10.6303217
DMPP-2 b,1,1,Radial Velocity,2019,5.2072,0.0664,,138.89171,0.078,,1000,6500,1.78,1.44,27.407731,-34.4590985
DMPP-3 A b,2,1,Radial Velocity,2019,6.6732,0.0662,,2.58,0.14,,854,5138,0.91,0.87,91.624382,-72.5126648
DP Leo b,2,1,Eclipse Timing Variations,2009,10220,8.19,,1922.79,0.39,,,,,0.69,169.3162193,17.9615717
DS Tuc A b,2,1,Transit,2019,8.138268,,5.7,,0,,850,5428,0.96,1.01,354.9154673,-69.196043
EPIC 201170410.02,1,1,Transit,2020,6.7987,0.0349,1.047,,0,,,3648,0.28,0.29,170.1408561,-4.8070039
EPIC 201238110 b,1,1,Transit,2019,28.1656,,1.87,,,,,,,0.41,179.7058532,-3.3894613
EPIC 201497682 b,1,1,Transit,2019,2.13174,,0.692,,,,,,,0.78,168.9366786,0.4880606
EPIC 201615463 c,1,2,Transit,2019,3.80464,,1.22,,,,,,,1.07,185.1880932,2.2823788
EPIC 201754305 d,1,3,Transit,2019,2.71578,,1.03,,,,,,,0.67,175.0972238,4.5574311
EPIC 201757695.02,1,1,Transit,2020,2.0478,0.0296,0.908,,0,,,4520,0.66,0.73,173.9385102,4.6164303
EPIC 201833600 c,1,2,Transit,2019,3.96151,,1,,,,,,,0.61,169.483654,5.988289
EPIC 201841433 b,1,1,Transit,2019,4.1698,0.035,1.04,,,,,5053,0.63,0.8,175.206752,6.1348146
EPIC 205950854 c,1,2,Transit,2019,8.050722,,1.31,,,,961,5502.7,0.83,0.88,333.1100738,-16.3418863
EPIC 206024342 b,1,1,Transit,2019,4.50756,,1.7,,,,,,,0.93,331.2771441,-14.1218019
EPIC 206032309 b,1,1,Transit,2019,2.87814,,1.01,,,,,,,0.22,341.2404563,-13.9011223
EPIC 206042996 b,1,1,Transit,2019,5.29711,,1.62,,,,,,,0.56,337.5136198,-13.6101475
EPIC 206215704 b,1,1,Transit,2019,2.25372,,0.9,,,,,,,0.41,335.0949721,-9.5097112
EPIC 206317286 b,1,1,Transit,2019,1.58252,,0.96,,,,,,,0.71,337.6178427,-7.972456
EPIC 211822797 b,1,1,Transit,2016,21.169861,0.131,1.98,,0.06,3.5,,4148.21,0.57,0.66,130.4102091,17.6399744
EPIC 211945201 b,1,1,Transit,2018,19.49221,0.1493,5.76,,,,817,6069,1.39,1.17,136.5741931,19.4020565
EPIC 212297394 b,1,1,Transit,2019,2.28943,,1.323,,,,,,,0.83,207.2061241,-17.6098985
EPIC 212424622 b,1,1,Transit,2019,18.0983,,2.17,,,,,,,1.11,202.3313765,-14.3594358
EPIC 212499991 b,1,1,Transit,2019,34.885,,1.6,,,,,,,0.91,202.488752,-12.7347749
EPIC 212587672 b,1,1,Transit,2019,15.2841,,1.12,,,,,,,0.95,205.4445125,-10.8625468
EPIC 212737443 b,1,2,Transit,2019,13.603,0.098,2.586,,0.2,,536,4684,0.67,0.69,204.2215065,-7.3180577
EPIC 212737443 c,1,2,Transit,2019,65.55,0.28,2.69,,0.2,,316,4684,0.67,0.69,204.2215065,-7.3180577
EPIC 220554210 c,1,2,Transit,2019,0.70531,,1.48,,,,,,,0.94,13.4321524,7.9952914
EPIC 220674823 b,1,2,Transit,2016,0.571331,0.0134,1.82,,,,2119,5617,0.98,0.97,13.0800239,10.7947051
EPIC 220674823 c,1,2,Transit,2016,13.339079,0.1091,2.73,,,,741,5617,0.98,0.97,13.0800239,10.7947051
EPIC 246851721 b,2,1,Transit,2018,6.180235,0.07229,11.781,953.49,,642,1401,6202,1.59,1.32,78.9198197,16.2786991
EPIC 248847494 b,1,1,Transit,2018,3650,4.5,12.442,4131.79,0,0.19,183,4898,2.7,0.9,159.3890808,11.8427484
EPIC 249893012 b,1,3,Transit,2020,3.5951,0.047,1.95,8.75,0.06,1037,1616,5430,1.71,1.05,228.2482353,-16.7246474
EPIC 249893012 c,1,3,Transit,2020,15.624,0.13,3.67,14.67,0.07,160,990,5430,1.71,1.05,228.2482353,-16.7246474
EPIC 249893012 d,1,3,Transit,2020,35.747,0.22,3.94,10.18,0.15,53,752,5430,1.71,1.05,228.2482353,-16.7246474
FU Tau b,1,1,Imaging,2008,,800,,5085.28,,,2375,2838,,0.05,65.8974962,25.0506711
G 9-40 b,1,1,Transit,2019,5.746007,0.0385,2.025,,0,7.2,456,3348,0.31,0.29,134.7188514,21.0747961
GJ 1061 b,1,3,Radial Velocity,2020,3.204,0.021,,1.37,0.31,3.8,,2953,0.16,0.12,54.0032486,-44.5143104
GJ 1061 c,1,3,Radial Velocity,2020,6.689,0.035,,1.74,0.29,1.4,,2953,0.16,0.12,54.0032486,-44.5143104
GJ 1061 d,1,3,Radial Velocity,2020,13.031,0.054,,1.64,0.53,0.6,,2953,0.16,0.12,54.0032486,-44.5143104
